vietnamese,tai_dam,is_augmented
chính giữa,ꪀꪱꪉ ꪹꪋꪷ꪿ꪉ,False
"chính trôn,",ꪀꪱꪉ ꪹꪋꪷ꪿ꪉ,True
"lưng, lưng chừng",ꪀꪱꪉ,False
nửa chừng,ꪀꪱꪉ,False
mắc,ꪀꪱꪉ,False
chõm,ꪀꪱꪉ,True
gài,ꪀꪱꪉ,False
gài,ꪶꪀꪥ,True
mong mỏi,ꪀꪱꪉ ꪁꪮꪉ,False
bỏm mỏi,ꪀꪱꪉ ꪁꪮꪉ,True
"mong ảo,",ꪀꪱꪉ ꪁꪮꪉ,True
nửa đêm,ꪀꪱꪉ ꪁꪳꪙ,False
"đêm khuya, canh khuya",ꪀꪱꪉ ꪁꪳꪙ ꪨꪺꪉ,False
ngang lưng,ꪀꪱꪉ ꪵꪮꪫ,False
khóa lưng,ꪀꪱꪉ ꪶꪉ꪿ꪙ,True
"không trung, khoảng không",ꪀꪱꪉ ꪬꪱꪫ,False
già nửa,ꪀꪱꪉ ꪵꪀ꪿,False
già nửa,ꪀꪱꪉ ꪘꪴꪣ,True
hi vọng,ꪀꪱꪉ ꪁꪮꪉ,False
hi rốn,ꪀꪱꪉ ꪁꪮꪉ,True
"sân, sân chơi",ꪀꪱꪉ ꪄ꪿ꪺꪉ,False
"sân, khét nhử,",ꪀꪱꪉ ꪄ꪿ꪺꪉ,True
non nửa,ꪀꪱꪉ ꪮ꪿ꪮꪙ,False
non thảy,ꪀꪱꪉ ꪮ꪿ꪮꪙ,True
"giữa trời, lưng trời",ꪀꪱꪉ ꪡ꫁ꪱ,False
"giữa trời, lưng khiếu",ꪀꪱꪉ ꪡ꫁ꪱ,True
trông mong,ꪀꪱꪉ ꪔꪷ꪿,False
ban trưa,ꪀꪱꪉ ꪹꪫꪸꪙ,False
"giong, chà",ꪀ꪿ꪱꪉ,False
"chẫu chàng, chẫu chuộc",ꪀ꪿ꪱꪉ ꪀ꫁ꪱ,False
"chẫu nhánh săn, chuộc",ꪀ꪿ꪱꪉ ꪀ꫁ꪱ,True
khạng nạng,ꪀ꪿ꪱꪉ ꪀꪱꪀ,False
"phùng, nạng",ꪀ꪿ꪱꪉ ꪶꪚ꪿ꪣ,True
cáng,ꪀ꪿ꪱꪉ,False
Bủa,ꪀ꪿ꪱꪉ,False
Bủa,ꪶꪣ,True
lên khung,ꪀ꪿ꪱꪉ,False
lên khung,ꪹꪕꪸ꪿-ꪹꪫꪸꪒ,True
bắc,ꪀ꪿ꪱꪉ,False
"bọn,",ꪀ꪿ꪱꪉ,True
mắc sợi vào khung cửi,ꪀ꪿ꪱꪉ ꪬꪴꪀ,False
mắc sợi vào sóng cửi,ꪀ꪿ꪱꪉ ꪬꪴꪀ,True
mắc sợi vào khung cửi,ꪶꪝ꫁ꪥ ꪬꪴꪀ,True
"chông chà, cành giong",ꪀ꪿ꪱꪉ ꪀꪲ꪿ꪉ,False
"cởi, chà, cành khi,",ꪀ꪿ꪱꪉ ꪀꪲ꪿ꪉ,True
chông bồi cành giong,ꪀ꪿ꪱꪉ ꪀꪲ꪿ꪉ,True
xương giăm,ꪀ꫁ꪱꪉ,False
"xương mục,",ꪀ꫁ꪱꪉ,True
phượng vĩ,ꪁꪱꪉ,False
phượng vĩ,ꪩꪱꪒ,True
"hóc, mắc",ꪀ꫁ꪱꪉ,False
hàm,ꪁꪱꪉ,False
"khu,",ꪁꪱꪉ,True
cằm sắt,ꪁꪱꪉ ꪹꪨꪸ꪿ꪀ,False
cằm sắt,ꪔꪴ ꪹꪨꪸ꪿ꪀ,True
giá để vo gạo,ꪁꪱꪉ ꪢ꪿ꪱ,False
giá để mẫm gạo,ꪁꪱꪉ ꪢ꪿ꪱ,True
"lẹm cằm, móm",ꪁꪱꪉ ꪫꪾ꫁,False
"lẹm cằm, trừng,",ꪁꪱꪉ ꪫꪾ꫁,True
lêu têu,ꪁ꪿ꪱꪉ,False
lêu têu,ꪮꪱꪉ,True
"mắc, ngạc",ꪁ꫁ꪱꪉ,False
"lạc bước, lưu lạc",ꪁ꫁ꪱꪉ ꪼꪋ꫁,False
"rấn, bước, lưu lạc",ꪶꪋꪒ ꪼꪋ꫁,True
"giắt răng, dính miệng, mắc răng",ꪁ꫁ꪱꪉ ꪵꪄ꫁ꪫ,False
"tây răng, dính miệng, mắc giằng,",ꪁ꫁ꪱꪉ ꪵꪄ꫁ꪫ,True
canh,ꪵꪀꪉ,False
canh suông,ꪵꪀꪉ ꪵꪁ,False
canh suông,ꪵꪀꪉ ꪵꪫ꪿ꪙ,True
giắt,ꪁ꫁ꪱꪉ,False
miến,ꪁ꫁ꪱꪉ,True
"sót, lọt",ꪁ꫁ꪱꪉ,False
"sót, chủi",ꪁ꫁ꪱꪉ,True
đờ,ꪁ꫁ꪱꪉ,False
cháo,ꪵꪀꪉ,False
giết,ꪵꪀꪉ,True
"nấu canh, nấu cháo",ꪵꪀꪉ,False
"nấu canh, trở, cháo",ꪵꪀꪉ,True
xúp,ꪵꪀꪉ ꪮꪺꪀ,False
xúp,ꪹꪯꪸ꫁ꪫ ꪮꪺꪀ,True
quang,ꪵꪀ꪿ꪉ,False
và,ꪵꪀ꪿ꪉ,False
quang đãng,ꪵꪀ꪿ꪉ ꪹꪁꪷꪉ,False
khệ nệ,ꪵꪀ꪿ꪉ ꪵꪀꪀ,False
khệ nùng,ꪵꪀ꪿ꪉ ꪵꪀꪀ,True
lẫn,ꪵꪀ꪿ꪉ,False
thác,ꪵꪀ꫁ꪉ,False
bềnh,ꪵꪀ꫁ꪉ,True
"hãy, hẵng",ꪵꪁꪉ,False
tùy theo,ꪵꪁꪉ ꪕꪷ꪿,False
"tùy ngát,",ꪵꪁꪉ ꪕꪷ꪿,True
tùy theo,ꪵꪁꪉ ꪏꪮꪣ,True
cẳng,ꪵꪁ꪿ꪉ,False
chi dưới,ꪵꪁ꪿ꪉ ꪄꪱ,False
"vọc, dưới",ꪵꪁ꪿ꪉ ꪄꪱ,True
chi kẹc,ꪵꪁ꪿ꪉ ꪄꪱ,True
cao,ꪀꪱꪫ,False
"khoác, ngoa",ꪀꪱꪫ,False
"khoác, xoảng",ꪀꪱꪫ,True
"thưa, trình, kính",ꪀ꪿ꪱꪫ,False
"thưa, trình, gỗ",ꪀ꪿ꪱꪫ,True
"thưa, tì kính",ꪀ꪿ꪱꪫ,True
khoe khoang,ꪀ꪿ꪱꪫ ꪮ꫁ꪱꪉ,False
khoe bạc,ꪀ꪿ꪱꪫ ꪮ꫁ꪱꪉ,True
"xe duyên, ăn hỏi",ꪀ꪿ꪱꪫ ꪢꪱꪥ,False
"kính mời, mời mọc",ꪀ꪿ꪱꪫ ꪹꪣꪷꪥ,False
"kính mời, mời mọc",ꪀ꪿ꪱꪫ ꪹꪄ,True
"kính mời, mời rổ,",ꪊꪮꪙ ꪹꪣꪷꪥ,True
khoác lác,ꪀ꫁ꪱꪫ ꪻꪐ꪿,False
"rú, lác",ꪀ꫁ꪱꪫ ꪻꪐ꪿,True
tanh,ꪁꪱꪫ,False
vồ,ꪁ꫁ꪱꪫ,False
cưỡng hiếp,ꪁ꫁ꪱꪫ ꪁꪳꪣ,False
cướp giật,ꪁ꫁ꪱꪫ,False
"đáng, giật",ꪁ꫁ꪱꪫ,True
Tước,ꪁ꫁ꪱꪫ,False
"cưỡng dâm, cưỡng gian",ꪁ꫁ꪱꪫ,False
"nghiến, dâm, cưỡng gian",ꪠ꫁ꪱꪙ,True
"bướm, bươm bướm",ꪀꪱꪚ ꪹꪚ꫁,False
cước bươm bướm,ꪀꪱꪚ ꪹꪚ꫁,True
"bướm, bươm bướm",ꪬꪸꪚ ꪹꪚ꫁,True
con thiêu thân,ꪀꪱꪚ ꪹꪚ꫁ ꪚꪴꪒ,False
châu chấu ma,ꪀꪱꪚ ꪀꪮꪉ,False
châu chấu đũa,ꪀꪱꪚ ꪀꪮꪉ,True
"con sò, con trai",ꪀꪱꪚ ꪀ꫁ꪺꪉ,False
"toan sò, con trai",ꪀꪱꪚ ꪀ꫁ꪺꪉ,True
mép,ꪀꪱꪚ ꪀꪳ,False
vỏ cây khô,ꪀꪱꪚ ꪄꪮꪙ,False
mưa cây khô,ꪀꪱꪚ ꪄꪮꪙ,True
vỏ cây lưỡi,ꪀꪱꪚ ꪄꪮꪙ,True
mo nang,ꪀꪱꪚ ꪘꪱ,False
mo đốp,ꪀꪱꪚ ꪘꪱ,True
gàu,ꪀꪱꪚ ꪶꪎꪀ,False
gàu,ꪀꪱꪚ ꪣ꪿ꪮꪉ,True
đai,ꪀꪱꪚ ꪶꪎꪀ,True
nền,ꪁꪱꪚ,False
ngoạm,ꪁꪱꪚ,False
ro,ꪁꪱꪚ,True
phát,ꪁꪱꪚ,False
"chập chờn, lơ mơ, mơ màng",ꪁꪱꪚ ꪁꪱ,False
"chỗ hiểm, huyệt",ꪁꪱꪚ ꪁꪰꪒ,False
cốt đất,ꪁꪱꪚ,False
tháng láu,ꪁꪱꪚ,True
"quắp, quặp, cắp",ꪁꪱꪚ,False
"quắp, quặp, trắng",ꪁꪱꪚ,True
"quắp, thống cắp",ꪁꪱꪚ,True
tha,ꪁꪱꪚ,False
nhoang,ꪁꪱꪚ,True
quả,ꪁꪱꪚ,False
quả,ꪹꪒꪸ꪿ꪙ,True
"quắn, cú",ꪁꪱꪚ,False
phếch cú,ꪁꪱꪚ,True
nớp cú,ꪁꪱꪚ,True
"lõm bõm, loáng thoáng",ꪁꪱꪚ ꪁꪱ,False
"lõm bõm, loáng thoáng",ꪁꪱꪚ ꪵꪁ꫁ꪣ,True
"lõm bõm, loáng thời",ꪁꪱꪚ ꪁꪱ,True
tớp,ꪁꪱꪚ ꪡꪰꪒ,False
luống cày,ꪁꪱꪚ ꪼꪖ,False
tha cày,ꪊ꪿ꪱꪥ ꪼꪖ,True
"cú đá, mòng giò",ꪁꪱꪚ ꪕꪮꪒ,False
"cú đá, mòng giò",ꪏ꪿ꪱꪉ ꪕꪮꪒ,True
chừng mực,ꪀꪱꪒ,False
tốc độ,ꪀꪱꪒ ꪫꪽ,False
tốc độ,ꪎꪱꪚ ꪫꪽ,True
tốc độ,ꪀꪱꪒ ꪹꪩꪱ,True
"ràng, chằng",ꪁꪱꪒ,False
đóng,ꪁꪱꪒ,False
ràng buộc,ꪁꪱꪒ ꪁꪸꪙ,False
mủi buộc,ꪁꪱꪒ ꪁꪸꪙ,True
gắn bó,ꪁꪱꪒ ꪁꪸꪙ,False
đoàn kết,ꪁꪱꪒ ꪎꪱꪙ,False
tồi đếm,ꪁꪱꪒ ꪹꪔ꫁ꪥ,True
xoắn,ꪹꪀꪱ,False
trẩu,ꪹꪀ꪿ꪱ,False
"cũ, cổ",ꪹꪀ꪿ꪱ,False
"bận, cổ",ꪹꪀ꪿ꪱ,True
"cũ, nhọn",ꪹꪀ꪿ꪱ,True
"cũ kĩ, cổ lỗ sĩ",ꪹꪀ꪿ꪱ ꪵꪀ꪿,False
cũ nhất lạnh lỗ sĩ,ꪹꪀ꪿ꪱ ꪵꪀ꪿,True
thủ cựu,ꪹꪀ꪿ꪱ ꪩ꫁ꪱꪫ,False
"thủ rợp,",ꪹꪀ꪿ꪱ ꪩ꫁ꪱꪫ,True
"tàng tàng, tàu tàu",ꪹꪀ꪿ꪱ ꪢꪰꪉ,False
chín,ꪹꪀ꫁ꪱ,False
lẽ,ꪹꪀ꫁ꪱ,True
chốn,ꪹꪀ꫁ꪱ,True
x. ꪔꪰ꫁ꪉ ꪹꪀ꫁ꪱ,ꪹꪀ꫁ꪱ,False
bốc ꪔꪰ꫁ꪉ ꪹꪀ꫁ꪱ,ꪹꪀ꫁ꪱ,True
chín mươi,ꪹꪀ꫁ꪱ ꪎꪲꪚ,False
chín nịnh,ꪹꪀ꫁ꪱ ꪎꪲꪚ,True
sờn mươi,ꪹꪀ꫁ꪱ ꪎꪲꪚ,True
cầu treo,ꪹꪁꪱ ꪵꪄꪫꪙ,False
phong,ꪹꪁ꫁ꪱ,False
phong,ꪄꪰꪒ,True
làm ồn,ꪹꪁ꫁ꪱ,False
kêu xào xạc,ꪹꪁ꫁ꪱ ꪮ꪿ꪽ,False
kêu xào giấu,ꪖ꪿ꪮꪥ ꪮ꪿ꪽ,True
nhõng xào xạc,ꪹꪁ꫁ꪱ ꪮ꪿ꪽ,True
cú vọ,ꪹꪁ꫁ꪱ ꪹꪄꪱ,False
cú vọ,ꪁꪲꪀ ꪹꪄꪱ,True
cú khảo,ꪹꪁ꫁ꪱ ꪹꪄꪱ,True
"sưng, bươu",ꪻꪁ꪿,False
"sưng, bươu",ꪬꪺꪚ,True
đớp,ꪻꪁ꪿,False
rầy,ꪻꪁ꪿,True
sưng sỉa,ꪻꪁ꪿ ꪹꪚꪸꪉ,False
sưng sỉa,ꪵꪉ꫁ ꪹꪚꪸꪉ,True
sưng sỉa,ꪔ꪿ꪮꪉ ꪹꪚꪸꪉ,True
Hợi,ꪻꪁ꫁,False
hênh,ꪻꪁ꫁,True
"cò, lẫy",ꪼꪀ,False
"cò, lẫy",ꪋꪾ꫁,True
cây,ꪼꪀ,False
mơ,ꪡꪴꪙ,True
xa,ꪼꪀ,False
xa cách,ꪼꪀ ꪵꪀ꪿ꪀ,False
"thương, cách",ꪼꪀ ꪵꪀ꪿ꪀ,True
gà,ꪼꪀ꪿,False
"gà đực, gà hoa",ꪼꪀ꪿ ꪁꪱ,False
"hóp đực, gà hoa",ꪼꪀ꪿ ꪁꪱ,True
"khó, đực, gà hoa",ꪼꪀ꪿ ꪁꪱ,True
gà con,ꪼꪀ꪿ ꪊꪸꪚ,False
"gà chọi, gà nòi",ꪼꪀ꪿ ꪁꪮꪙ,False
"gà chọi, cạy, nòi",ꪼꪀ꪿ ꪁꪮꪙ,True
gà giò,ꪼꪀ꪿ ꪭꪱꪣ,False
gà gáy,ꪼꪀ꪿ ꪄꪽ,False
"gà thói,",ꪭꪰꪉ ꪄꪽ,True
tổ gáy,ꪼꪀ꪿ ꪄꪽ,True
gà gô,ꪼꪀ꪿ ꪵꪄ꫁,False
chuốc gô,ꪼꪀ꪿ ꪵꪄ꫁,True
gà mái tơ,ꪼꪀ꪿ ꪹꪄ꪿ꪉ,False
ngay mái dẻ,ꪼꪀ꪿ ꪹꪄ꪿ꪉ,True
gà mái ghẹ,ꪼꪀ꪿ ꪣꪱꪙ ꪣꪮꪀ,False
gà mừng ghẹ,ꪼꪀ꪿ ꪣꪱꪙ ꪣꪮꪀ,True
gà mái,ꪼꪀ꪿ ꪵꪣ꪿,False
"gà nước, gà đồng",ꪼꪀ꪿ ꪙꪾ꫁,False
gà tật hồn đồng,ꪼꪀ꪿ ꪙꪾ꫁,True
gà mờ,ꪼꪀ꪿ ꪡꪱꪉ,False
"gà trống, gà sống",ꪼꪀ꪿ ꪝꪷ꪿,False
gà kim tiền,ꪼꪀ꪿ ꪁꪫꪱꪉ,False
gà nữa ngão,ꪼꪀ꪿ ꪁꪫꪱꪉ,True
gà rừng,ꪼꪀ꪿ ꪹꪖ꪿ꪙ,False
"dẫn, rừng",ꪼꪀ꪿ ꪹꪖ꪿ꪙ,True
gà thiến,ꪼꪀ꪿ ꪔꪮꪙ,False
"ngoạy, thiến",ꪼꪀ꪿ ꪔꪮꪙ,True
dâm dục,ꪼꪀ꫁,False
dâm khoằm,ꪼꪀ꫁,True
lũ lượt,ꪼꪀ꫁,False
rêu đá,ꪼꪁ,False
"lượn, đá",ꪼꪁ,True
nương cậy,ꪼꪁ꫁ ꪹꪝꪷ꪿ꪉ,False
nương dan,ꪼꪁ꫁ ꪹꪝꪷ꪿ꪉ,True
nắm,ꪀꪾ,False
buồng,ꪀꪾ,True
nắm,ꪀꪾ,False
"điệu cổ, túm cổ",ꪀꪾ ꪁꪷ,False
"điệu cổ, ột cổ",ꪀꪾ ꪁꪷ,True
"điệu cổ, chụm, cổ",ꪀꪾ ꪁꪷ,True
vừa một cườm tay,ꪀꪾ ꪁꪮꪚ,False
phị một cườm tay,ꪀꪾ ꪁꪮꪚ,True
vừa một cườm tay,ꪀꪾ ꪎꪳ,True
nắm rưỡi,ꪀꪾ ꪤꪳꪙ,False
giữ rịt,ꪀꪾ ꪑ꪿ꪽ,False
ịch rịt,ꪀꪾ ꪑ꪿ꪽ,True
quả đấm,ꪀꪾ ꪜ꫁ꪽ,False
quả vẫn,ꪁꪺꪉ ꪜ꫁ꪽ,True
"cương quyết, kiên quyết",ꪀꪾ ꪀꪫꪸꪒ,False
"cương quyết, bên, quyết",ꪣ꫁ꪱꪫ ꪀꪫꪸꪒ,True
"cương quyết, đất, quyết",ꪀꪾ ꪀꪫꪸꪒ,True
"tím, thâm",ꪀꪾ꪿,False
tím bầm,ꪀꪾ꪿ ꪭꪺꪙ ꪭꪺꪙ,False
thâm tím,ꪀꪾ꪿ ꪙꪴꪣ,False
thâm tím,ꪮꪱꪫ ꪙꪴꪣ,True
tím than,ꪀꪾ꪿ ꪜꪰꪉ,False
"thâm, sẫm",ꪀꪾ꪿,False
"đông nghịt, nghìn nghịt",ꪀꪾ꪿ ꪜꪳ꪿ꪀ,False
chốn,ꪀꪾ꫁,False
nơi chốn,ꪀꪾ꫁ ꪹꪘꪷꪥ,False
xoèn chốn,ꪀꪾ꫁ ꪹꪘꪷꪥ,True
nơi chốn,ꪹꪥ꫁ꪉ ꪶꪓ꫁ꪀ,True
vàng,ꪁꪾ,False
miếng,ꪁꪾ,False
thăn,ꪁꪾ,True
nhặn,ꪁꪾ,True
"kiêng, kị",ꪁꪾ,False
"kiêng, hét,",ꪁꪾ,True
vàng lá,ꪁꪾ ꪻꪚ,False
vàng me,ꪁꪾ ꪁꪩ꪿ꪽ,True
"cầm cữ, kiêng cữ",ꪁꪾ ꪹꪚꪙ,False
"cầm cữ, kiêng cữ",ꪶꪕꪣ ꪹꪚꪙ,True
"độc, cữ, kiêng cữ",ꪁꪾ ꪹꪚꪙ,True
"dầu cao, cù là",ꪁꪾ ꪹꪥ꫁ꪱ,False
"dầu giai rồ, là",ꪁꪾ ꪹꪥ꫁ꪱ,True
dầu xôn để là,ꪁꪾ ꪹꪥ꫁ꪱ,True
vàng nguyên chất,ꪁꪾ ꪵꪒꪉ,False
vàng nguyên phúc,ꪁꪾ ꪵꪒꪉ,True
món,ꪁꪾ,False
có kị,ꪁꪾ,False
"có bao,",ꪁꪾ,True
kị,ꪁꪾ ꪵꪁ꫁,False
kị,ꪝꪱꪒ ꪵꪁ꫁,True
kị,ꪹꪋꪱ ꪵꪁ꫁,True
cỗ cưới,ꪁꪾ ꪀꪲꪙ,False
cỗ cưới chính thức,ꪁꪾ ꪀꪲꪙ ꪨꪺꪉ,False
"tím, cưới chính thức",ꪁꪾ ꪀꪲꪙ ꪨꪺꪉ,True
cỗ cưới ra mắt,ꪁꪾ ꪀꪲꪙ ꪙ꫁ꪮꪥ,False
cỗ cưới ra mắt,ꪁꪾ ꪀꪲꪙ ꪢ꪿ꪱꪉ,True
"cầu đảo, đảo vũ",ꪁꪾ ꪹꪣꪉ,False
"cầu đảo, đảo lì",ꪁꪾ ꪹꪣꪉ,True
"mẻo, mẩu",ꪁꪾ ꪯꪮꪥ,False
thục mẩu,ꪁꪾ ꪯꪮꪥ,True
"để tang, để trở",ꪁꪾ ꪔꪱꪉ,False
"để tang, để sộc",ꪮꪲꪚ ꪢꪾ꫁,True
chịu tang,ꪁꪾ ꪶꪕ꫁ꪀ,False
chịu hất,ꪁꪾ ꪶꪕ꫁ꪀ,True
chịu tang,ꪹꪩꪷꪥ ꪶꪕ꫁ꪀ,True
vàng quí,ꪁꪾ ꪵꪎꪉ,False
vàng mười,ꪁꪾ ꪎꪲꪚ,False
vàng kiêng,ꪁꪾ ꪎꪲꪚ,True
vàng thoi,ꪁꪾ ꪎꪮꪥ,False
vàng thoi,ꪡꪮꪉ ꪎꪮꪥ,True
trừng thoi,ꪁꪾ ꪎꪮꪥ,True
tối,ꪁꪾ꪿,False
mồng,ꪁꪾ꪿,False
mồng,ꪊꪀꪴ꪿,True
đêm hôm,ꪁꪾ꪿ ꪁꪳꪙ,False
đêm nháy,ꪁꪾ꪿ ꪁꪳꪙ,True
chống,ꪁꪾ꫁,False
chống,ꪹꪔꪸꪙ,True
giằng co,ꪁꪾ꫁ ꪼꪀ,False
giằng chịu,ꪁꪾ꫁ ꪼꪀ,True
"đảm nhận, đảm đương, đảm đang",ꪁꪾ꫁ ꪝꪱ,False
"đảm nhận, đảm hỏn, đảm đang",ꪁꪾ꫁ ꪀꪺꪀ,True
chọc trời,ꪁꪾ꫁ ꪡ꫁ꪱ,False
chọc trời,ꪁꪾ꫁ ꪚꪾ,True
"chống chọi, kháng cự, chống lại",ꪁꪾ꫁ ꪔꪷ꪿,False
"chống chọi, kháng cự, chống lại",ꪤꪸꪒ ꪔꪷ꪿,True
đỡ,ꪁꪾ꫁,False
gánh,ꪁꪾ꫁,False
đích,ꪁꪾ꫁,True
cát,ꪁꪾ꫁,True
đương,ꪁꪾ꫁,False
"chống trả, chống đỡ, chống đối",ꪁꪾ꫁ ꪔꪮꪚ,False
"chống trả, ươi đỡ, chống đối",ꪁꪾ꫁ ꪔꪮꪚ,True
"run, trả, chống đỡ, chống đối",ꪁꪾ꫁ ꪔꪮꪚ,True
nhau,ꪀꪽ,False
nhau,ꪮꪢꪮꪀ,True
dùi,ꪀ꪿ꪽ,False
cái nút,ꪀ꪿ꪽ ꪶꪮꪒ,False
quàu nút,ꪀ꪿ꪽ ꪶꪮꪒ,True
cái dim,ꪀ꪿ꪽ ꪩ꫁ꪱ,True
"chặn, cản, ngáng",ꪀ꫁ꪽ,False
nén lòng,ꪀ꫁ꪽ ꪻꪊ,False
nén lòng,ꪀ꫁ꪽ ꪶꪔ꫁ꪉ,True
nén lòng,ꪕꪳ꪿ꪉ ꪻꪊ,True
chặn hậu,ꪀ꫁ꪽ ꪨꪰꪉ,False
"chặn tiệt,",ꪀ꫁ꪽ ꪨꪰꪉ,True
chặn đầu,ꪀ꫁ꪽ ꪘ꫁ꪱ,False
đìu đầu,ꪀ꫁ꪽ ꪑꪮꪚ,True
bờ,ꪁꪽ,False
nõ,ꪀ꪿ꪽ,False
ngăn chặn,ꪀ꫁ꪽ,False
"rào, rào đón",ꪀ꫁ꪽ,False
"rét, rào đón",ꪀ꫁ꪽ,True
cán,ꪁꪽ,False
chán,ꪵꪔ꫁ꪉ,True
cần,ꪁꪽ,False
cua,ꪁꪽ,True
ngứa,ꪁꪽ,False
vòng,ꪼꪎ꫁,True
cần câu,ꪁꪽ ꪹꪚꪸꪒ,False
ngứa ngáy,ꪁꪽ ꪁꪱꪥ,False
ngứa ngáy,ꪚꪮꪣ ꪁꪱꪥ,True
ngứa tai,ꪁꪽ ꪬꪴ,False
ngứa tay,ꪁꪽ ꪣꪳ,False
ngứa hến,ꪁꪽ ꪣꪳ,True
bờ đường,ꪁꪽ ꪵꪏꪉ,False
nháo đường,ꪁꪽ ꪙꪴꪣ,True
ngứa mồm,ꪁꪽ ꪶꪎꪚ,False
ngứa mồm,ꪁꪽ ꪹꪘꪸ꫁,True
tiện,ꪁ꪿ꪽ ꪁꪷ꪿,False
xoa bóp,ꪁ꫁ꪽ,False
xoa xẻng,ꪁ꫁ꪽ,True
nhuộm chàm,ꪁ꫁ꪽ ꪙꪲꪙ,False
nhuộm xắp,ꪁ꫁ꪽ ꪙꪲꪙ,True
nhuộm chàm,ꪁ꫁ꪽ ꪔꪲꪙ,True
căng,ꪀꪰꪉ,False
"tròng, cạm",ꪀꪰꪉ,False
một loại căng to,ꪀꪰꪉ ꪒꪲꪙ,False
một loại căng to,ꪹꪐ꪿ꪥ ꪒꪲꪙ,True
kham,ꪀꪰ꪿ꪉ,False
nghịch,ꪁ꫁ꪽ,False
tới,ꪁ꫁ꪽ,True
nghịch,ꪼꪀ꫁,True
"chơi, thèm",ꪁ꫁ꪽ,False
"gắng, nuối",ꪀꪰ꪿ꪉ,False
dế nuối,ꪀꪰ꪿ꪉ,True
lắp,ꪀꪰ꫁ꪉ,False
"loáng, loang loáng",ꪁꪰꪉ ꪁꪰꪉ,False
"loáng, loang giăng,",ꪁꪰꪉ ꪁꪰꪉ,True
triều loang loáng,ꪁꪰꪉ ꪁꪰꪉ,True
chói chang,ꪁꪰꪉ ꪁꪰꪉ,False
"chói vợ,",ꪁꪰꪉ ꪁꪰꪉ,True
"bẫy cặp, bẫy kẹp",ꪀꪾꪚ,False
"bẫy cặp, yểng kẹp",ꪀꪾꪚ,True
"bẫy cặp, bẫy dẫn",ꪀꪾꪚ,True
tại,ꪀꪾꪚ,False
với,ꪀꪾꪚ,False
với,ꪶꪩꪚ,True
"kèm, kèm với",ꪀꪾꪚ,False
hờ gối với,ꪀꪾꪚ,True
"lập tức, tức thì, tức khắc",ꪀꪾꪚ ꪚꪱꪒ,False
"lập tức, tức thì, tức suất",ꪀꪾꪚ ꪚꪱꪒ,True
"lập tức, tức thì, khuyu khắc",ꪶꪨꪣ ꪚꪱꪒ,True
bẫy bằng ống tre,ꪀꪾꪚ ꪚꪮꪀ,False
giếng bằng ống lè,ꪀꪾꪚ ꪎꪴ꪿ꪣ,True
bẫy bằng ống tre,ꪀꪾꪚ ꪶꪊꪚ,True
vận,ꪀꪾꪚ ꪀ꪿ꪱꪥ,False
"vốc,",ꪀꪾꪚ ꪀ꪿ꪱꪥ,True
tại trận,ꪀꪾꪚ ꪅꪱꪚ,False
tại trận,ꪀꪾꪚ ꪹꪁꪱ,True
đổi chác,ꪀꪾꪚ ꪵꪩꪀ,False
chật,ꪁꪾꪚ,False
chật,ꪶꪏ,True
đầy,ꪁꪾꪚ,False
vang,ꪁꪾꪚ,False
chật chội,ꪁꪾꪚ ꪁꪴꪉ,False
chật bó,ꪁꪾꪚ ꪭꪰꪒ,False
chật hẹp,ꪁꪾꪚ ꪵꪁꪚ,False
chật hẹp,ꪁꪾꪚ ꪁꪲꪀ,True
chật vựa,ꪁꪾꪚ ꪻꪭ꪿,True
chật cứng,ꪁꪾꪚ ꪮꪨꪳꪒ,False
tuyến cứng,ꪁꪾꪚ ꪮꪨꪳꪒ,True
chật ních,ꪁꪾꪚ ꪎꪸꪚ,False
cắn,ꪀꪰꪒ,False
thấu,ꪀꪰꪒ,False
ngoạm,ꪀꪰꪒ ꪡ꫁ꪱꪥ,False
ngoạm,ꪀꪰꪒ ꪹꪙ꫁,True
chặt,ꪁꪰꪒ,False
hiểm,ꪁꪰꪒ,False
"bần, bần bách",ꪁꪰꪒ,False
khổ não,ꪁꪰꪒ ꪻꪊ,False
khổ não,ꪊꪲ꪿ꪉ ꪻꪊ,True
khổ của,ꪘ꪿ꪱꪉ ꪻꪊ,True
"nghèo nàn, nghèo túng, bần hàn",ꪁꪰꪒ ꪁꪴꪉ,False
"nghèo quéo nghèo túng, bần niềng",ꪁꪰꪒ ꪁꪴꪉ,True
"dừa nàn, nghèo túng, bần hàn",ꪁꪰꪒ ꪁꪴꪉ,True
khốn quẫn,ꪁꪰꪒ ꪵꪁ꫁ꪙ,False
"nghèo khó, nghèo ngặt",ꪁꪰꪒ ꪄꪷ꪿,False
"nghèo khó, nghèo nguy",ꪁꪰꪒ ꪄꪷ꪿,True
xốc nổi,ꪀꪚꪰꪀ ꪼꪀꪚ꪿,False
ngặt,ꪁꪰꪒ,False
trúng,ꪁꪰꪒ,True
ngặt,ꪵꪕꪚ,True
dai,ꪁꪰꪒ,False
"năng nổ, nổ nang",ꪀꪚꪰꪀ ꪼꪀꪚ꪿,False
"năng mọi, nổ nang",ꪋꪲ꫁ ꪼꪀꪚ꪿,True
"năng nổ, óc nang",ꪀꪚꪰꪀ ꪼꪀꪚ꪿,True
